Gene	ID	Count
ATOH7	895	2
ATOH8	896	9
ATOX1	897	6
ATP10A	898	5
ATP10D	899	11
ATP11A	900	89
ATP11B	901	5
ATP11C	902	18
ATP12A	903	10
ATP13A1	904	2
ATP13A2	905	17
ATP13A5	906	18
ATP1A1	907	28
ATP1A3	908	5
ATP1A4	909	6
ATP1B1	910	7
ATP1B2	911	2
ATP1B3	912	21
ATP2A1	913	1
ATP2A2	914	26
ATP2A3	915	9
ATP2B1	916	19
ATP2B3	917	9
ATP2B4	918	84
ATP2C1	919	8
ATP2C2	920	50
ATP4A	921	10
ATP4B	922	11
ATP5A1	923	9
ATP5B	924	4
ATP5C1	925	9
ATP5D	926	11
ATP5E	927	6
ATP5F1	928	3
ATP5G1	929	9
ATP5G2	930	5
ATP5G3	931	9
ATP5H	932	1
ATP5I	933	3
ATP5J	934	8
ATP5J2	935	4
ATP5L	936	5
ATP5O	937	24
ATP5S	938	2
ATP6AP1	939	7
ATP6V0A1	940	11
ATP6V0A2	941	13
ATP6V0A4	942	10
ATP6V0B	943	5
ATP6V0C	944	3
ATP6V0D1	945	5
ATP6V0D2	946	10
ATP6V0E1	947	5
ATP6V0E2	948	5
ATP6V1A	949	7
ATP6V1B1	950	8
ATP6V1B2	951	5
ATP6V1C1	952	7
ATP6V1C2	953	15
ATP6V1D	954	7
ATP6V1E1	955	16
ATP6V1F	956	8
ATP6V1G1	957	10
ATP6V1G2	958	4
ATP6V1H	959	18
ATP7A	960	6
ATP7B	961	19
ATP8A1	962	28
ATP8A2	963	56
ATP8B1	964	20
ATP8B2	965	13
ATP8B3	966	3
ATP8B4	967	8
ATP9B	968	52
ATPAF1	969	7
ATPAF2	970	5
ATPBD4	971	12
ATPGD1	972	8
ATPIF1	973	5
ATR	974	27
ATRIP	975	9
ATRN	976	21
ATRNL1	977	64
ATRX	978	5
ATXN1	979	16
ATXN10	980	55
ATXN1L	981	8
ATXN2	982	9
ATXN2L	983	8
ATXN3	984	8
ATXN7	985	40
ATXN7L1	986	74
ATXN7L2	987	11
ATXN7L3	988	9
AUH	989	25
AUP1	990	2
AURKA	991	8
AURKAIP1	992	3
AURKB	993	4
AURKC	994	3
AUTS2	995	34
AVIL	996	19
AVL9	997	5
AVP	998	6
AVPI1	999	10
AVPR1A	1000	6
AVPR1B	1001	6
AVPR2	1002	1
AXIN1	1003	36
AXIN2	1004	26
AXL	1005	9
AZGP1	1006	1
AZI1	1007	7
AZI2	1008	11
AZIN1	1009	10
B2M	1010	17
B3GALNT1	1011	9
B3GALNT2	1012	7
B3GALT2	1013	3
B3GALT4	1014	4
B3GALT5	1015	5
B3GALT6	1016	1
B3GALTL	1017	10
B3GAT1	1018	6
B3GAT2	1019	25
B3GAT3	1020	4
B3GNT2	1021	31
B3GNT3	1022	13
B3GNT4	1023	5
B3GNT5	1024	16
B3GNT6	1025	5
B3GNT7	1026	7
B3GNT8	1027	2
B3GNT9	1028	8
B3GNTL1	1029	30
B4GALNT1	1030	8
B4GALNT2	1031	14
B4GALNT3	1032	18
B4GALT1	1033	8
B4GALT2	1034	9
B4GALT3	1035	2
B4GALT4	1036	5
B4GALT5	1037	18
B4GALT6	1038	11
B4GALT7	1039	5
B9D1	1040	4
B9D2	1041	3
BAALC	1042	5
BACE1	1043	11
BACE2	1044	4
BACH1	1045	17
BACH2	1046	8
BAD	1047	9
BAG1	1048	27
BAG2	1049	8
BAG3	1050	24
BAG4	1051	20
BAG5	1052	6
BAHCC1	1053	18
BAHD1	1054	13
BAI1	1055	23
BAI3	1056	31
BAIAP2	1057	35
BAIAP2L2	1058	6
